case,mesh,study,arm,reconstruction,cfl,h,maxCellSize,stable,shapeError,volumeError,gradientError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,meanStrainBand,meanStrainBandHalf
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,0,0.00958829609001,1.04995019846,,,0.49632681441,0.305488786128,0.618897660371,0.255206215039,0.0594941608403,1.07810168997,1.13339736214,1.75852670252,1.63406973465,-0.17520469822,-0.00384271646365
2Dvortex,hex,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00696550362158,1,,,1.88770610379,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00696550362158,1,,,1.41845663638,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00696550362158,1,,,1.51073654855,nan,1,nan,nan,nan,nan,nan,nan,nan,nan
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00654921902094,0.416487267329,,,0.479398023845,0.474712441046,0.565780553764,0.212256066696,0.0398213897816,0.958247869286,0.719770355679,1.66584634226,1.77096357241,-0.473822365457,0.00116582467547
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00654826798029,0.416853539146,,,0.479581735293,0.474761659529,0.565932287028,0.212545050388,0.0398382769656,0.95810608662,0.719692941522,1.66561428848,1.77086830096,-0.473914899079,0.00116619876341
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,,0.0373702134778,0.501053114937,0.460257820852,0.827640722299,0.569612706555,0.000265303743323,0.0641941188067,0.125960772693,1.37274409015,1.50233190165,1.8220566406,1.94078835054,-0.5147856969,-0.867243450266
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,,0.0357750302703,0.883400995383,0.941162456353,1.01892351604,0.984263641336,9.31692670544e-05,0.11799366657,0.18488899036,1.87903756508,1.92853602395,2.49921699405,2.63639024215,-0.517065280056,-0.867421991474
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,,0.0342623621163,1.43149187692,1.46947345648,1.54835603739,1.45258270881,0.000371793349714,0.247785858611,0.270505500608,2.41238198616,2.40113570281,3.23704737455,3.42977727348,-0.516374772757,-0.868499343819
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,,0.0331582407524,1.83414006599,2.01496328648,2.65246745457,1.95793451265,0.00060183607937,0.360981478747,0.379643151171,2.95765143925,2.90752308018,4.03014893854,4.40732519768,-0.517314494179,-0.870020224101
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0055248618784530384,,0,,0.0951124784119,0.577482695295,0.481090496731,0.660553827881,0.58526489801,0.0035424282003,0.0369368099899,0.204194545579,1.38022675941,1.50194345493,1.77353686146,2.00657738078,-0.494793860356,-0.874328379144
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0055248618784530384,,0,,0.102033963179,0.83965002087,0.98819520083,1.10743323078,0.991832780863,0.00276642572394,0.0931710200447,0.308102784077,1.91652482463,1.92213416012,2.41712186521,2.70243348764,-0.501649477852,-0.872586028475
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0055248618784530384,,0,,0.105629379596,1.28352142151,1.55081928675,1.49013175848,1.45545276949,0.00183563197686,0.147133715945,0.450108587107,2.4880468852,2.3904896306,3.12016491409,3.54715876389,-0.50656431456,-0.872274655618
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0055248618784530384,,0,,0.107182944882,1.98915109489,2.13501829579,2.13663193519,1.95851101669,0.00089814229767,0.280794133606,0.63458604727,3.07657002874,2.89309428055,3.88054165024,4.47556528655,-0.509646985145,-0.869717778746
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,0,,0.158080812625,0.446209684184,0.435992900501,0.54701222166,0.668196309322,0.00162391858425,0.182562499251,0.106059811808,1.30676219729,1.56801403143,1.71360236786,2.16077383449,-0.451729700078,-0.838890627275
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,0,,0.186712283954,0.742741048052,0.931852596231,0.980859234113,1.08892664785,0.00206541471917,0.0582035316314,0.153806412962,1.83921677902,2.00387175212,2.31728914058,2.78922108112,-0.46576274478,-0.839333925149
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,0,,0.211798982305,1.17119843488,1.50033559181,1.44003619131,1.56513689609,0.0022488110048,0.0898561960523,0.218608514641,2.41178210439,2.48704092349,3.0257953247,3.47699406034,-0.479803453576,-0.842425411434
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,0,,0.229308888288,1.76843267487,2.10602384092,2.14571150243,2.07712465752,0.00209382354653,0.162281174456,0.300557448776,3.02360619269,2.99836988528,3.78286134496,4.20277746082,-0.488607076355,-0.843609635382
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.011111111111111112,,0,,0.18827592014,0.447674893625,0.370674863,0.550346340184,0.730497781208,0.0192890066681,0.0473621761506,0.357714511431,1.13977943416,1.61435885533,1.59437824291,2.21973258179,-0.445633567012,-0.829434937638
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.011111111111111112,,0,,0.258215009503,0.782658986445,0.792643086751,0.921925031052,1.18597659434,0.0202534746579,0.0789329849424,0.455761814572,1.65835261521,2.07839845383,2.22939275332,2.88838288927,-0.444245147338,-0.830727702686
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.011111111111111112,,0,,0.321185014729,1.17590624974,1.34050664548,1.40352502646,1.70223740563,0.0204095367668,0.109666411091,0.564375080824,2.22951259542,2.59736948941,2.9051179029,3.6301423517,-0.446532332035,-0.832015883268
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.011111111111111112,,0,,0.372587507479,1.70437836009,1.94647433543,1.93426124768,2.25211355295,0.019953044951,0.134230198995,0.678742798455,2.84896770486,3.14630286791,3.64148528833,4.42555928172,-0.460393272675,-0.829905072692
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,0,,0.108033566179,0.432779041686,0.36304697154,0.499865003118,0.691655620092,0.0452159117581,0.0225749682787,0.172990177113,0.943200220436,1.55535976509,1.5145286567,2.1098069698,-0.508200432515,-0.800023579947
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,0,,0.243081348538,0.712192523335,0.623405859034,0.849706290622,1.14468995581,0.0529619394461,0.0913172044162,0.234641540666,1.40527858465,2.01787503882,2.04747320947,2.76302735283,-0.512966707489,-0.801304857916
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,0,,0.366337403292,1.14530205164,1.12896165182,1.2696635089,1.68119067831,0.0596072892654,0.130855908558,0.479680531436,1.96736971785,2.56949897735,2.72114511311,3.49538127875,-0.474863725475,-0.801767806414
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,0,,0.478691746876,1.62797843017,1.71149350007,1.91494103562,2.26692680079,0.064798736065,0.202011852588,0.600480352026,2.56929051015,3.15432688044,3.44563511768,4.28324498671,-0.44871833596,-0.804627340323
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.022222222222222223,,0,,0.175151537468,0.457776734182,0.4535208174,0.50036566348,0.583827607238,0.0518812164622,0.030062935904,0.154048900584,0.762677838514,1.40877270451,1.67897179616,2.01242645537,-0.419587692936,-0.790857414802
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.022222222222222223,,0,,0.0504136350284,0.710777529713,0.541048558761,0.837523716982,1.00514005686,0.0720802171374,0.064418464555,0.208398727985,1.19701021124,1.85829447623,2.16527366828,2.61837328943,-0.431041250458,-0.794523049482
2Dvortex,hex,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.022222222222222223,,0,,0.243318834994,1.09590939421,0.902582044848,1.26805638308,1.5053462338,0.0918371312381,0.0518763207292,0.197749924049,1.64476857414,2.35466963669,2.95977812454,3.31173642498,-0.495218721751,-0.787619937425
