method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,10226.0,3409.742399385838,2.04297136645,0.00224282997502,0.0872418648225,0.28738682679,2.24319012647,0.216319608035,0.0583002908855,0.226426783798,0.125589553727,0.825249398044,1.01463447329,1.4368161191,1.47365922014,-2.65345910011,-0.10793909028,3.09156135711,-0.0368476281784,-0.0107263624716,0.0231625590769,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00008,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,9010.0,3004.2811479040092,1.99693979603,0.00224311130797,0.0872517395365,0.28735814288,2.24303288472,0.216304356191,0.0582948129677,0.225962680209,0.125790768692,0.825252711635,1.01463581331,1.42797453389,1.47280306866,-2.66932045333,-0.107958653584,3.09103155108,-0.0368361123018,-0.0107264164407,0.0231623709319,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00009,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,11397.0,3800.1989170546053,0.691991808012,0.00244521404269,0.0944793606749,0.370281757368,0.597588965218,0.617897198719,0.0310955126788,0.371317141798,0.330414465036,0.809645522943,1.51761754204,1.7397861165,2.63670251161,-2.56888375627,-0.0396729773144,3.07814394886,-0.0378842167728,-0.0108051298745,0.0223583201236,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00010,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,8936.0,2979.606696744753,0.694494859793,0.00244521193332,0.0944797226259,0.370282931028,0.595985457736,0.617897793525,0.0310956600634,0.371318232731,0.330416791934,0.809646089214,1.51761792219,1.7398080132,2.63681960675,-2.56889059168,-0.0396720780092,3.0781431369,-0.0378844426464,-0.0108051273204,0.0223573471594,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00011,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,6750.0,2250.0,0.317976065924,0.00191618707427,0.0485873766835,0.0850339401228,1.3724686225,2.26782719488,0.0820810421454,0.838989785109,0.139331936534,0.927018316327,2.89491034731,1.1368347504,5.86870156384,-2.61009928048,-0.190646025129,3.04430721812,-0.0419192905979,0.0154737538717,0.0543350681859,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00000,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,6656.0,2218.6666666666665,0.317976065924,0.00191618707427,0.0485873766835,0.0850339401228,1.3724686225,2.26782719488,0.0820810421454,0.838989785109,0.139331936534,0.927018316327,2.89491034731,1.1368347504,5.86870156384,-2.61009928048,-0.190646025129,3.04430721812,-0.0419192905979,0.0154737538717,0.0543350681859,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00001,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,7253.0,2417.6666666666665,1.63336750761,0.0026251440991,0.0779636341812,0.321874188081,2.05371620198,0.263767311817,0.0596250476634,0.23638910289,0.0465743013882,0.757406593319,0.939504820333,1.31342705713,1.59679971974,-2.62037553911,-0.149147525994,3.04031933405,-0.0439617699114,0.0151250505981,0.053445740454,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00002,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,7047.0,2349.0,1.70757362732,0.00262591565166,0.0779937596232,0.321803275164,2.05855210046,0.263748460779,0.0596340160951,0.236588965689,0.046547927277,0.757614176034,0.939534907791,1.32113834403,1.59684453409,-2.62854621389,-0.149343131133,3.04090922907,-0.0439669996648,0.015125830381,0.0534338503683,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00003,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,7062.0,2354.0,0.63683061241,0.00386214458342,0.14721908725,0.355690119192,0.467928937657,0.601229685987,0.0546792503945,0.404399322702,0.165154992512,0.835024153238,1.47752965634,1.87953415948,2.62321933284,-2.58147659127,-0.143803842987,3.03108378321,-0.0548756735671,0.0153180336727,0.0530883438573,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00004,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,6923.0,2307.6666666666665,0.654887580701,0.0038621360437,0.147219728878,0.355690545978,0.4693617607,0.601230004508,0.0546794729707,0.404400124266,0.165146123315,0.835024267731,1.47752986501,1.87954751177,2.6231561405,-2.5814760374,-0.143801373058,3.0310817354,-0.0548750450189,0.0153180319765,0.053090793421,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00005,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
