method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,786.0,787.0264576511541,1.63727300842,,0.00381886085431,2.85967365626,0.75220190612,1.2633196813,0.000998406595365,0.128342590733,0.356562019288,3.56877064217,1.99448790866,5.75926528879,3.30194424998,-1.97466664586,-0.824910187976,2.62819287672,-3.04073572386,-1.42601175041,2.60253575036,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00036,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,813.0,814.0617176468045,2.80007131795,,0.0255216442292,0.188385259909,2.0385513886,0.0408956076255,0.00177567985433,0.0701862354516,0.783955237112,1.1092431078,1.007971074,1.36922610599,1.14514706472,-2.70350942844,-0.84924893158,2.44632864239,-3.01187891877,-1.42491493358,2.6263345637,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00037,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):flLsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,749.0,749.9781383978556,1.61181389483,,0.0285973412222,2.69024843536,0.752539757798,1.28939042885,0.00377680329769,0.135109699026,0.344743990698,3.35591928916,1.97845958992,5.85571484949,3.74448928698,-2.70880662094,-0.815955987584,2.54362589876,-3.11820077443,-1.43670945035,1.83023068267,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00050,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),faceLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):flLsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,795.0,796.0382109830376,3.3066930778,,0.0296859859045,0.198556583467,2.28047814089,0.128204402488,0.0159682063635,0.11225852872,0.608305574356,1.03607450767,1.03404338583,1.41249017199,1.63350993043,-2.65941914004,-0.838356852921,0.462311437382,-3.13779971685,-1.43924576358,2.64851053056,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00051,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),faceLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,550.0,550.0,1.60739910445,,0.00636197143389,2.71990327657,0.751982033649,1.28343493454,0.00153894957971,0.332080860346,0.34297314358,3.42453417548,2.00777053387,5.59060847547,3.35715971695,-2.55832862348,-0.827859555905,0.510574432095,-3.03845668134,-1.42711800535,2.41851488163,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00006,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,596.0,596.0,2.39203580036,,0.0489070883262,0.23026749446,1.69401727465,0.087410492838,0.000261143384949,0.251373348295,0.760282457715,1.07538616208,1.04818253757,1.37049208615,1.31112199878,-2.65709419822,-0.842158568519,2.08204924622,-3.0155414229,-1.42191760103,2.58745258376,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00007,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,526.0,526.0,1.60796155043,,0.00970807931403,2.66598103793,0.751471752833,1.28159777076,0.00151324322824,0.532970244621,0.342972296887,3.38126705323,2.00665554962,5.57111640854,3.35481355414,-2.11994961545,-0.841046200666,0.692733211656,-3.03843258844,-1.42714500739,2.41851490586,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00020,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,632.0,632.0,2.38165230928,,0.0410600534838,0.215757241299,1.63130569603,0.0835772309953,0.00010827840492,0.206586969583,0.754779767976,1.06456520957,1.0427336425,1.3565424437,1.2851151327,-2.59016628694,-0.838302224059,2.2560537866,-3.01189328393,-1.42316192677,2.58858963558,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00021,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,555.0,555.0,1.60739837882,,0.00636197135642,2.71990327654,0.751973496476,1.28343493442,0.00153894981723,0.332080860179,0.34297315223,3.42453417547,2.00777053476,5.59060847551,3.35715971695,-2.55832862134,-0.827859555865,0.510574432103,-3.03845668118,-1.42711800355,2.41851481445,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00034,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,590.0,590.0,2.11133756215,,0.0489052643527,0.230255136052,1.73132254725,0.0874107384618,0.000260876837498,0.25173396756,0.760283926267,1.07536464596,1.04818132878,1.37037163781,1.31112200277,-2.65510787714,-0.84218897762,2.08134528765,-3.01545813726,-1.42191662839,2.58744912945,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00035,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
