method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,655.0,655.0,2.39203580036,,0.0489070883262,0.23026749446,1.69401727465,0.087410492838,26.7244618327,31.4693431623,0.000261143384949,0.251373348295,0.760282457715,1.07538616208,1.04818253757,1.37049208615,1.31112199878,-2.65709419822,-0.842158568519,2.08204924622,-3.0155414229,-1.42191760103,2.58745258376,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00020,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,580.0,580.0,2.18293913826,,0.0487879929455,0.230353946983,1.54492023266,0.0873975314456,21.6806914407,18.4878440192,0.000265689814844,0.249402466924,0.76026116671,1.07488403115,1.04818042765,1.37016203351,1.3111245615,-2.64441139768,-0.842222911955,2.0619849861,-3.01536278462,-1.42192153242,2.58749611503,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00021,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,649.0,649.0,0.921955719243,,0.019949416789,1.18757281504,0.577727550254,0.798957206927,5.56153264351,1.73356464975,0.00097576007933,0.476201527891,0.395761936306,2.07997256864,1.66068043385,2.8876123425,2.45141984519,-2.14515134348,-0.835693848622,0.455422062136,-3.03132740314,-1.42606387117,2.54469395904,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00022,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.011111111111111112,,0.5,582.0,582.0,0.921955347816,,0.01994978161,1.18757193661,0.577727483474,0.798957096695,5.5606570941,1.73355866437,0.000975766783351,0.476200637299,0.395762105084,2.0799720518,1.66068033578,2.88760061348,2.45141884134,-2.14518378312,-0.835693606841,0.455422488875,-3.03132542267,-1.42606389083,2.54468369163,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00023,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.015625,,0.5,428.0,428.0,1.56031484652,,0.0194562405292,2.41516779626,0.746324738947,1.27993719916,4.30043542455,2.38538222279,0.000927828678274,0.194954825543,0.371479351599,3.13327369476,1.98587764739,5.30043542455,3.38538222279,-2.16256137055,-0.785309842868,2.25712109977,-3.08423858707,-1.38722598949,2.70376643545,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00012,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.015625,,0.5,418.0,418.0,1.56031484652,,0.0194562405292,2.41516779626,0.746324738947,1.27993719916,4.30043542455,2.38538222279,0.000927828678274,0.194954825543,0.371479351599,3.13327369476,1.98587764739,5.30043542455,3.38538222279,-2.16256137055,-0.785309842868,2.25712109977,-3.08423858707,-1.38722598949,2.70376643545,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00013,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.015625,,0.5,397.0,397.0,1.91051083006,,0.0581179882226,0.291998201061,1.23597974359,0.136068234957,16.1211640985,7.86181047643,0.0134705409575,0.162587632447,0.689109939802,1.04085084282,1.09617322969,1.77780316609,1.30579624099,-2.17284770574,-0.786892663721,1.67731113695,-2.99308038737,-1.36092601712,2.55352041428,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00014,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.015625,,0.5,403.0,403.0,1.95583053249,,0.0580282400664,0.291838771516,1.31912141175,0.136028225069,15.3819591508,13.0906661437,0.0134672608013,0.161448479398,0.689160417256,1.04094730796,1.09615009559,1.77749353511,1.30579291236,-2.16537186905,-0.786823375413,1.6813489543,-2.99313224449,-1.36095669294,2.55337962361,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00015,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.015625,,0.5,399.0,399.0,0.849531020863,,0.0528224692029,1.14697809083,0.579285283753,0.837991931824,4.17873740253,1.57562991406,0.000877360805715,0.226775516179,0.410734080418,2.02272430836,1.67588865495,2.76158809799,2.55883479108,-2.56350318879,-0.803884874214,0.550160277839,-3.07433225043,-1.37922077103,2.65717378146,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00016,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.015625,,0.5,446.0,446.0,0.849530897583,,0.0528227318946,1.14697324206,0.579285178018,0.837991923943,4.17880895042,1.57561847377,0.000877392501052,0.226753074526,0.410737857618,2.02271988438,1.6758887702,2.76157221626,2.55883049617,-2.56357112887,-0.803887696395,0.549660537945,-3.07432753972,-1.37922090027,2.65720016018,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00017,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
