method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+n:gauss+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,2.0,1.0,2.07852949434,0.000253622832524,0.0278724420146,0.207048485632,1.86434364654,0.135250435316,25.1043897197,23.9898383565,0.0116229659108,0.443381349904,0.602762765868,1.00922927112,1.08869792583,1.39764815047,1.33110723718,-2.84787924022,0.0237603391416,2.82999108419,-0.041567628955,0.0202079335115,0.0468019563436,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00011,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,1.0,0.5,2.13263782364,0.000273645305798,0.031493758317,0.173939361099,2.10888231778,0.174441671571,32.5704789276,38.5837900953,0.0116494979639,0.449928833096,0.488168817201,0.998203994627,1.12861820324,1.283304123,1.34613823053,-2.85303755883,-0.0266199526142,2.71528244947,0,0.000113952643617,0.0184647702001,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00016,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,2.0,1.0,1.15594502542,0.000278014731813,0.0317945798282,0.168597127605,1.53174223102,0.170453352727,13.406235004,14.948305375,0.0111886046162,0.449168861168,0.4912878334,1.00200778151,1.12420931045,1.27080807526,1.35306761215,-2.85401905506,-0.0530341110202,2.71015661909,0,0.000113611956168,0.0183799162726,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00021,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,3.0,1.5,2.23824433545,0.000273968572754,0.0314789687948,0.173430092429,1.88467645607,0.17422909007,29.3854684149,21.8700400344,0.0115926057312,0.45144964468,0.488133841541,0.996516015836,1.1285022671,1.2836203559,1.34613882772,-2.85306616887,-0.0265089796765,2.71438035535,0,0.000113952641031,0.0184647694631,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00026,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.54366468507,0.000530597477535,0.0577958014459,0.257550853803,1.56939736537,0.171946445875,17.1666499506,17.4471961332,0.0334698994281,0.330426159848,0.463713112446,0.968188105156,1.10996862596,1.42098066696,1.32869451077,-2.86040609717,-0.0238742371728,2.86261162802,-0.0993852543348,0.0438169834991,0.105968638261,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00000,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,2.0,1.0,0.842580620513,0.000529407891151,0.0583418744421,0.255919893785,1.29506603227,0.174787796035,7.6517464937,10.6318777529,0.0326138047723,0.34573163391,0.467887630529,0.977212469423,1.10862142105,1.46220134749,1.32638273769,-2.8643700215,-0.027669217872,2.86078719717,-0.0998695772088,0.0439389166076,0.106793651089,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00005,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,2.0,1.0,1.63012353427,0.000530654703866,0.0580383364758,0.258593048911,1.72289848727,0.171330171825,15.1749734436,14.4287848758,0.0336100541169,0.330701907985,0.465694784905,0.966413385494,1.10901378963,1.41578067784,1.33004790141,-2.86228892624,-0.0227921976598,2.86267723928,-0.0992978330077,0.0437818373149,0.105987209345,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00010,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.61545849273,0.000554473916115,0.0626531732981,0.220135512953,1.54945453081,0.222180939824,16.238780068,17.4486631597,0.0317801206708,0.347544199502,0.433064969517,0.954818460251,1.15645099297,1.29703516583,1.39308863891,-1.90092923734,0.0313425468923,2.67533695637,0,0,0,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00015,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.917877793685,0.000554436367582,0.0632306613924,0.221189003783,1.30326128315,0.222893669678,6.94826021489,10.4593068193,0.0309689135851,0.36456935536,0.439664864263,0.96192635074,1.15470165642,1.34334720881,1.37676039799,-1.94229009968,0.0314627472192,2.65411522516,0,0,0,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00020,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.71972768979,0.000554912534509,0.0629226934705,0.22147639298,1.70338092442,0.221703892327,14.2503656936,14.4290817679,0.0319043280679,0.348479381959,0.434517918671,0.953240418512,1.15552446614,1.29563897054,1.38149112719,-1.90062855252,0.0313709504929,2.67311727228,0,0,0,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00025,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
