velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.152371550057,0.000260420462752,0.0216464676439,0.0731151814391,0.95751809828,1.63937616142,0.000476203763939,0.875975771249,0.134893997422,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.42244069925,0.0064998831496,0.883675745194,3.71382878452,2.04111792923,4.24651232074,0.838246744461,0.963277431942,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.91807796948,0.0512782241275,6.30337730671,0.924483007143,0.9158484352,0.923045369048,5.87239393573,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.943539269145,0.049161940878,6.00214432485,0.943492899017,0.942511979567,0.942644930142,6.26445518743,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.152084339922,0.000250514846795,0.0199398444609,0.0665512145968,0.958228357047,1.64843281347,0.000311301431924,0.876955972476,0.144879369552,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,1.0,1.41931620067,0.0064895373313,0.882959639133,3.70561326794,2.05226646151,4.35778652756,0.834976697251,0.967942361104,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.858948028147,0.0494341929143,6.08973089472,0.872990755765,0.914276723847,0.922305447449,5.85862280114,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.940301066659,0.0489842091409,5.98742241971,0.940125829935,0.941701235818,0.941816584442,6.25823103916,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.230195382878,0.000848068393997,0.0283471722906,0.120721276561,0.906569737975,1.22542911045,0.0511098833184,0.731127876872,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.993028984643,0.0506709593369,6.37005024411,0.994607704272,0.808650247999,0.793499570091,6.23249105098,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.939349255817,0.0496159257488,6.11177499797,0.93969930815,17596.0848322,17671.4859215,6.15848700013,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.951322722083,0.0499518387072,6.1685395204,0.951242909128,0.949806827959,0.949166273066,6.22101170885,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.229624530128,0.000822595071636,0.0268486474453,0.121101797199,0.905529744969,1.23899962987,0.0444320711912,0.72934816888,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.803940066412,0.0532900828025,6.45597367713,0.795151934843,0.794486639782,0.775522148773,6.23009614813,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.705206731464,0.0355008379367,4.090298535,0.729698069278,22430.0604341,22520.4696823,6.21124504257,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.949574351831,0.0495999522532,6.17144959446,0.948928938487,0.949078286616,0.948585832497,6.13186213192,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,0.5,0.12477190217,0.000509567281471,0.0335529766867,0.0779034860578,2.15987714991,3.69399135444,0.00651855917787,0.806161818403,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,0.5,2.20883206225,0.0027737707464,0.246474682992,11.6817420504,3.82485314407,12.4301554674,0.215219879852,0.881176675955,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,0.5,0.924303498851,0.0513899954203,6.2642710077,0.929993182604,0.91264712578,0.922798023567,5.85208543806,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,0.5,0.9527650873,0.0500524771316,6.08908172966,0.951924842188,0.949771178954,0.949789083715,6.10572166245,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,1.0,0.124688978569,0.000509254837846,0.0333491754469,0.0785543793364,2.1599249078,3.70265326662,0.00700806397,0.804074230434,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,1.0,2.20686200873,0.00278000622995,0.247256594559,11.6871292773,3.82801649085,12.4540169053,0.214873378842,0.878828808803,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,1.0,0.907129956685,0.0519023311003,6.31168468457,0.919078361052,0.90083889953,0.915993369753,5.8302829971,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.0078125,,1.0,0.948741080962,0.0494146687148,5.99950226362,0.94859989525,0.944977565327,0.945334928106,6.23678080829,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,0.5,0.199071805416,0.00134061909969,0.0219878985635,0.200151866225,2.01766260779,2.75039795809,0.0561686542067,0.641991220129,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,0.5,1.24082645481,0.00775188375989,1.09936195217,2.85702418821,2.73420095773,4.20102739255,0.943013471988,0.4831661105,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,0.5,0.920829099192,0.0512292796468,6.29151586797,0.926063805188,0.918204779623,0.924064279217,5.88484926554,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,0.5,0.942962434394,0.0489414969222,5.98025196781,0.943373586339,0.942913046657,0.943188350315,6.23713548482,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,1.0,0.199139408362,0.00134988073133,0.0220217255772,0.204083215735,2.01848793044,2.76340064514,0.0527846618076,0.636305174461,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,1.0,1.23954085686,0.0077390470056,1.09755604721,2.85867795092,2.73980580509,4.23847158659,0.944305007254,0.394313617486,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,1.0,0.791040364996,0.0500289353822,6.05589010531,0.806332189389,0.914499386868,0.922368629913,6.33342554845,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.015625,,1.0,0.9320658585,0.0504992343993,6.07622615615,0.933034505176,0.933844902681,0.935456327323,5.98784746064,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,0.5,0.317894260352,0.00382924476451,0.548122041551,0.620372373834,1.71153573185,1.64633911318,0.565592215808,0.129172839159,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,0.5,0.791553230366,0.0537024007537,6.61545772429,0.77938843735,0.809063710766,0.798351070379,5.85523274252,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,0.5,0.795500346629,0.0644106677556,8.18832443063,0.8165786967,0.934504029233,0.934730653495,6.05045106113,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,0.5,0.951425795683,0.0499583830029,6.16768800205,0.950857366016,0.950337667413,0.949888904339,6.18058160846,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,1.0,0.317570237748,0.00397880461095,0.566339077641,0.617378188639,1.71273943318,1.66374613007,0.5534358674,0.15073566415,0,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,1.0,1.07190016051,0.0475349911235,5.85352931373,1.07857919,0.833675259088,0.819896236417,5.80318864992,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,1.0,0.747065815141,0.0358512762808,4.2476458075,0.771857486463,0.927716781447,0.928026729836,6.4451599119,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,4,0.03125,,1.0,0.95094510189,0.0499958542842,6.17428772455,0.950812516575,0.949728850815,0.949213483141,6.22130139779,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,0.229120054129,0.00220132955234,0.237805871457,0.331093011051,4.42584642839,4.84179579198,0.174347275409,0.56485702515,0,0,UpwindUext,,,,,,
