TIME,maxMagU,phaseVolumeRelError,m2CosCoefficient,m2SinCoefficient,m2Amplitude,m2Phase,minGradPsiBand,maxGradPsiBand,pLaplace
0.0011454966,0.1569436523,1.011815882e-05,7.169919472e-05,7.724815863e-09,7.169919514e-05,5.386961362e-05,0.7491339426,1.337935006,67.41516985
0.0011667095,0.1576001549,5.350613466e-05,7.082671169e-05,8.014534957e-09,7.082671215e-05,5.657847676e-05,0.7439760471,1.344239649,67.8513747
0.0011879224,0.1582047849,0.0001213197279,6.994144972e-05,8.303877812e-09,6.994145021e-05,5.936306587e-05,0.7388946401,1.350469735,68.30327922
0.0012091353,0.158755192,0.0001933753107,6.904373593e-05,8.593000302e-09,6.904373647e-05,6.222867391e-05,0.7338958302,1.356624509,68.3441172
0.0012303482,0.1592489033,0.0002697224167,6.813390456e-05,8.882078152e-09,6.813390514e-05,6.518104429e-05,0.7289857065,1.362703212,68.38450755
0.0012515611,0.1596832458,0.0003504068048,6.721229674e-05,9.171307955e-09,6.721229736e-05,6.822641349e-05,0.7241702881,1.368705075,68.42440646
0.001272774,0.1600550377,0.0004354693044,6.627926004e-05,9.460907823e-09,6.627926071e-05,7.13715554e-05,0.7194554536,1.374629324,68.46377587
0.0012939869,0.1603768245,0.0005249433813,6.533514786e-05,9.751118667e-09,6.533514859e-05,7.462383506e-05,0.7148468164,1.380475172,68.50248403
0.0013151998,0.160635777,0.0006188808318,6.438032089e-05,1.004219097e-08,6.438032167e-05,7.799115284e-05,0.7103510061,1.386241788,68.54054589
0.0013364127,0.1608247175,0.000717362339,6.341514694e-05,1.033437746e-08,6.341514778e-05,8.148193187e-05,0.7059756731,1.391928316,68.57795741
0.0013576256,0.1610802822,0.0008204684665,6.243999767e-05,1.062800588e-08,6.243999858e-05,8.510575095e-05,0.7017278297,1.397533903,68.61470769
0.0013788385,0.161269635,0.0009282596597,6.145524667e-05,1.092347079e-08,6.145524764e-05,8.887337752e-05,0.6976138162,1.403057685,68.65073506
0.0014000514,0.1613876315,0.001040768977,6.046126921e-05,1.122115169e-08,6.046127025e-05,9.279619592e-05,0.693639569,1.408498765,68.68622817
0.0014212643,0.1610291116,0.001151733334,5.945846329e-05,1.152055241e-08,5.945846441e-05,9.687899442e-05,0.6898106693,1.413856215,69.18393995
0.0014424772,0.1581367047,0.00125295138,5.844826482e-05,1.182124713e-08,5.844826602e-05,0.0001011257306,0.6861856387,1.41910376,69.71066413
0.0014636901,0.1559142806,0.001352192732,5.743327404e-05,1.211888666e-08,5.743327532e-05,0.0001055040539,0.6828146671,1.424209196,69.78077614
0.001484903,0.1541015413,0.00145230684,5.641488124e-05,1.240874376e-08,5.641488261e-05,0.000109977574,0.6796787778,1.42917207,69.84927181
0.0015061159,0.1526408721,0.001552917909,5.539273202e-05,1.26922693e-08,5.539273347e-05,0.000114566195,0.6767557474,1.434001721,69.91759116
0.0015273288,0.1514751265,0.001652913682,5.436617441e-05,1.297286288e-08,5.436617596e-05,0.0001193100561,0.6740307322,1.438703583,69.95417681
0.0015485417,0.1505916177,0.001751227855,5.333477509e-05,1.324277371e-08,5.333477673e-05,0.0001241476449,0.6714929455,1.443281094,69.91157837
0.0015697546,0.1498795262,0.001846925587,5.229836896e-05,1.328591349e-08,5.229837064e-05,0.00012702034,0.6690303465,1.447715862,69.96875707
0.0015909675,0.1493706091,0.001939248032,5.125702604e-05,1.321356176e-08,5.125702774e-05,0.0001288951241,0.666708642,1.451998855,70.03650187
0.0016121804,0.1491118244,0.002029030235,5.021085094e-05,1.323964757e-08,5.021085268e-05,0.0001318404988,0.6645592269,1.456146173,70.10084211
0.0016333933,0.1489616113,0.002128628145,4.91599311e-05,1.332473384e-08,4.91599329e-05,0.0001355243307,0.662578341,1.460166331,70.15805238
0.0016546062,0.148828434,0.002250469056,4.810444688e-05,1.345278827e-08,4.810444876e-05,0.0001398289429,0.6607634567,1.464064954,70.16786419
0.0016758191,0.1485128323,0.002397029408,4.704489355e-05,1.360909995e-08,4.704489552e-05,0.000144639498,0.6591130526,1.467842532,70.23208514
0.001697032,0.1480364022,0.002556876577,4.598207125e-05,1.378380782e-08,4.598207332e-05,0.0001498824111,0.657629754,1.471498678,70.24413574
0.0017182449,0.1474259454,0.002718407196,4.491686662e-05,1.396728602e-08,4.49168688e-05,0.0001554792957,0.656318593,1.475036242,70.2980468
0.0017394578,0.1461162084,0.002880460951,4.384982176e-05,1.414869621e-08,4.384982404e-05,0.0001613312798,0.6551828488,1.478458023,70.34007989
0.0017606707,0.1452428754,0.003041813633,4.278090207e-05,1.423858318e-08,4.278090444e-05,0.0001664128381,0.6542254147,1.481766686,70.39826655
0.0017818836,0.1407727178,0.003201049957,4.170981472e-05,1.421411632e-08,4.170981715e-05,0.0001703929382,0.6534485796,1.484965072,70.95562581
0.0018030965,0.1375722447,0.003357480172,4.062296737e-05,1.698772138e-08,4.062297093e-05,0.0002090900972,0.6529938108,1.488055766,71.00637489
0.0018243094,0.1350274958,0.003511133699,3.944943078e-05,1.631496616e-08,3.944943416e-05,0.000206783278,0.6529420851,1.491041382,71.5790162
0.0018455223,0.1334471449,0.003659511517,3.820821545e-05,1.494025207e-08,3.820821837e-05,0.0001955109802,0.6531953179,1.493927459,71.63009506
0.0018667352,0.1319146803,0.003803108202,3.692226084e-05,8.92129761e-09,3.692226191e-05,0.0001208119063,0.6536943663,1.496718235,71.67870264
0.0018879481,0.1303194656,0.003941164861,3.562756921e-05,9.064823195e-09,3.562757036e-05,0.0001272164114,0.6544022409,1.499414582,71.72443173
0.001909161,0.1282556563,0.004073752731,3.433253176e-05,9.284758502e-09,3.433253301e-05,0.0001352180833,0.655294636,1.502017887,71.76908895
0.0019303739,0.1261904963,0.004201165351,3.303788737e-05,9.578455882e-09,3.303788876e-05,0.0001449616846,0.6563549366,1.504529815,71.75661984
0.0019515868,0.1241366868,0.004323506598,3.174436171e-05,9.93825285e-09,3.174436327e-05,0.000156535712,0.6575705148,1.506952307,71.64618914
0.0019727997,0.1220818744,0.004440356472,3.045261074e-05,1.034718469e-08,3.04526125e-05,0.0001698899378,0.6589297443,1.509287533,71.69014637
0.0019940126,0.1200081549,0.004551453681,2.916330576e-05,1.079174443e-08,2.916330775e-05,0.0001850226451,0.6604218707,1.511537551,72.80390086
0.0020152255,0.1178964065,0.004656600008,2.787718497e-05,1.126266257e-08,2.787718724e-05,0.0002020050082,0.6620374144,1.513704271,72.86527482
0.0020364384,0.1157297599,0.004755635978,2.659497301e-05,1.175630077e-08,2.659497561e-05,0.0002210248531,0.6637669091,1.515789485,72.92196485
0.0020576513,0.1146440585,0.004848419915,2.531737897e-05,1.226609415e-08,2.531738194e-05,0.000242246506,0.6656006839,1.517794843,72.97395156
0.0020788642,0.1145356963,0.004934810197,2.404509525e-05,1.278654431e-08,2.404509865e-05,0.0002658867218,0.667528727,1.51972191,73.01652621
0.0021000771,0.1142414017,0.005014761404,2.277878898e-05,1.331414043e-08,2.277879287e-05,0.0002922486116,0.6695405913,1.521582656,73.05536742
0.00212129,0.1138457534,0.005088243721,2.151908966e-05,1.385285449e-08,2.151909412e-05,0.0003218735736,0.67162517,1.523385022,73.09390542
0.0021425029,0.1132184905,0.005155011963,2.026659253e-05,1.440652572e-08,2.026659765e-05,0.0003554253946,0.6737711688,1.525123283,73.12799778
0.0021637158,0.1123520179,0.005214932312,1.902189635e-05,1.496129547e-08,1.902190223e-05,0.0003932650066,0.6704993111,1.526793199,73.15761175
0.0021849287,0.1113156231,0.005272707498,1.778560766e-05,1.551409716e-08,1.778561442e-05,0.0004361417816,0.6661472512,1.52839171,73.18077592
0.0022061416,0.1100784938,0.005331296373,1.655831934e-05,1.60659229e-08,1.655832713e-05,0.0004851312965,0.6618138141,1.529916413,73.2011581
0.0022273545,0.1086374799,0.005387541823,1.53406104e-05,1.661616544e-08,1.53406194e-05,0.0005415742436,0.6574983805,1.531365259,73.21443274
0.0022485674,0.1070007553,0.005438938024,1.413302231e-05,1.719632398e-08,1.413303277e-05,0.0006083736059,0.6532012405,1.532736721,73.2224115
0.0022697803,0.1052083097,0.005483983537,1.286692454e-05,4.03012369e-08,1.286698765e-05,0.001566073734,0.6489240101,1.534030719,73.22834742
0.0022909932,0.103268535,0.005522785906,1.000412773e-05,1.868953828e-08,1.000414518e-05,0.0009340902599,0.6446695766,1.535247201,73.22968672
0.0023122061,0.1011931174,0.005555293879,8.617429276e-06,1.929580242e-08,8.617450879e-06,0.001119578099,0.6404415541,1.536384807,73.22662617
0.002333419,0.099381879,0.005581406763,7.231306882e-06,1.988627654e-08,7.231334226e-06,0.00137500916,0.6362440972,1.537441625,73.21807209
0.0023546319,0.09892779579,0.005601051528,5.846071804e-06,2.045766033e-08,5.846107598e-06,0.00174968573,0.632081843,1.538415134,73.20697864
0.0023758448,0.09846253403,0.005614214022,4.462022639e-06,2.100793463e-08,4.462072093e-06,0.002354064637,0.6279588845,1.539303225,73.19245678
0.0023970577,0.09803084546,0.005620883451,3.079446075e-06,2.153527182e-08,3.079521374e-06,0.003496557537,0.6238778058,1.540104992,73.16683209
0.0024182706,0.09827475198,0.005619332043,1.698622753e-06,2.202865485e-08,1.698765587e-06,0.006483905852,0.6198398083,1.540820631,73.14403728
0.0024394835,0.09859680385,0.005607617481,3.1982234e-07,2.247651604e-08,3.20611171e-07,0.03508138512,0.6158449012,1.541451375,73.11880368
0.0024606964,0.09894563834,0.00557761937,-1.056702995e-06,2.287756169e-08,1.056950615e-06,1.559973045,0.6118920984,1.541999124,73.10026159
0.0024819093,0.09924907899,0.005490721011,-2.430317251e-06,2.323809916e-08,2.430428347e-06,1.566015595,0.6079822484,1.542466184,73.08409136
0.0025031222,0.09892469908,0.005357640426,-3.800136153e-06,2.356445522e-08,3.800209213e-06,1.567695891,0.6041283323,1.54285468,73.05884829
0.0025243351,0.09795934467,0.005193445743,-5.165952821e-06,2.384903189e-08,5.166007871e-06,1.568488053,0.6003640896,1.543166199,73.03091655
0.002545548,0.0965269338,0.005006304852,-6.528036523e-06,2.407666097e-08,6.528080922e-06,1.568952238,0.5967301905,1.543400998,72.98547115
0.0025667609,0.09474087025,0.004801988049,-7.88647895e-06,2.425761044e-08,7.886516256e-06,1.569258408,0.5932588627,1.543557136,72.94726695
0.0025879738,0.09408300257,0.004587341631,-9.241231774e-06,2.44071472e-08,9.241264005e-06,1.569475773,0.5898896062,1.543632056,72.90378649
0.0026091867,0.09357529372,0.004366209218,-1.059219482e-05,2.45223498e-08,1.059222321e-05,1.569638762,0.5864221279,1.543623599,72.86024187
0.0026303996,0.09327133219,0.004142861945,-1.193919191e-05,2.455653828e-08,1.193921717e-05,1.569767928,0.5831478336,1.543530329,72.79171958
0.0026516125,0.09294750464,0.003918453459,-1.328198123e-05,2.448688113e-08,1.32820038e-05,1.56987452,0.5800788326,1.543351826,72.74934809
0.0026728254,0.09256115786,0.003694115561,-1.462028484e-05,2.44676149e-08,1.462030532e-05,1.569959558,0.5772208437,1.543088059,72.19831598
0.0026940383,0.09210560467,0.003471760862,-1.595382327e-05,2.46293595e-08,1.595384228e-05,1.570024432,0.5745806024,1.543114903,71.70099762
0.0027152512,0.09158970528,0.003252939457,-1.728230695e-05,2.491866116e-08,1.728232491e-05,1.570075397,0.5721669707,1.543118944,71.93114645
0.0027364641,0.09100227289,0.003038619759,-1.860533451e-05,2.525843658e-08,1.860535165e-05,1.570117532,0.5699937247,1.543037147,71.90465255
0.002757677,0.09034406867,0.002828552212,-2.076652972e-05,2.402482412e-08,2.076654362e-05,1.570217876,0.5680735006,1.542868566,71.8765427
0.0027788899,0.08961530413,0.002621724595,-2.207638628e-05,2.423794264e-08,2.207639959e-05,1.570247371,0.5664106302,1.542612598,71.7996515
0.0028001028,0.08881805697,0.00241727772,-2.338669833e-05,2.44162434e-08,2.338671108e-05,1.570274316,0.5650086214,1.542269026,71.71958829
0.0028213157,0.0879556918,0.002214372044,-2.469667423e-05,2.455984305e-08,2.469668644e-05,1.570299097,0.5638673469,1.541839972,71.68933314
0.0028425286,0.08702286004,0.002012683415,-2.600560606e-05,2.466873715e-08,2.600561776e-05,1.57032203,0.5629836013,1.541327776,71.65711615
0.0028637415,0.08603622994,0.001812369925,-2.731286521e-05,2.474282451e-08,2.731287642e-05,1.570343375,0.5623541061,1.540732757,71.62295715
0.0028849544,0.08532087095,0.001614379815,-2.861783951e-05,2.478162565e-08,2.861785024e-05,1.570363352,0.5619779379,1.540055864,71.58784129
0.0029061673,0.08459407463,0.001419397472,-2.991994135e-05,2.478643336e-08,2.991995162e-05,1.570382114,0.5618524368,1.539299202,71.55157277
0.0029273802,0.0838561773,0.001227485327,-3.121860188e-05,2.475789324e-08,3.12186117e-05,1.570399802,0.5619680272,1.538465257,71.51374487
0.0029485931,0.08310517884,0.001038889296,-3.251326253e-05,2.469841064e-08,3.251327191e-05,1.570416506,0.5623108976,1.53755647,71.47520872
0.002969806,0.08486869189,0.0008538963944,-3.380338353e-05,2.46092801e-08,3.380339249e-05,1.570432321,0.562865779,1.536575596,71.43489958
0.0029910189,0.08641175802,0.0006721952693,-3.508845557e-05,2.449073458e-08,3.508846411e-05,1.570447341,0.5636252832,1.53552525,71.3934308
0.0030122318,0.08768951586,0.0004940341312,-3.636797677e-05,2.43408872e-08,3.636798491e-05,1.57046168,0.5645954942,1.534408612,71.34946985
0.0030334447,0.08817586823,0.0003204959383,-3.764144566e-05,2.41598633e-08,3.764145341e-05,1.570475406,0.5657793864,1.533229946,71.03155394
0.0030546576,0.08777841367,0.0001529835273,-3.890837904e-05,2.394720389e-08,3.89083864e-05,1.570488588,0.5671697965,1.531994264,70.44535314
0.0030758705,0.08685464216,8.03301287e-06,-4.016830228e-05,2.370150313e-08,4.016830928e-05,1.570501299,0.5687564323,1.530707758,70.13196594
0.0030970834,0.0856663196,0.0001625518404,-4.142074727e-05,2.342130584e-08,4.142075389e-05,1.570513602,0.5705305638,1.52937728,70.08674916
0.0031182963,0.08570223724,0.0003107811685,-4.266524759e-05,2.310739013e-08,4.266525384e-05,1.570525528,0.5724869037,1.528009546,70.03720283
0.0031395092,0.0876851609,0.0004528577051,-4.390133317e-05,2.276061818e-08,4.390133907e-05,1.570537102,0.5746396827,1.526610895,69.98401427
0.0031607221,0.08949928349,0.0005891012773,-4.512852963e-05,2.238106281e-08,4.512853518e-05,1.570548357,0.5770040089,1.52518788,69.5473627
0.003181935,0.09148851707,0.0007172296473,-4.634635499e-05,2.196969194e-08,4.63463602e-05,1.57055931,0.5795791065,1.523747077,69.12428616
0.0032031479,0.093407451,0.000823493113,-4.75542403e-05,2.152906353e-08,4.755424518e-05,1.570569964,0.5823617332,1.522292691,68.79572242
0.0032243608,0.09525625765,0.0008975448855,-4.875150404e-05,2.106102596e-08,4.875150859e-05,1.570580323,0.5853437071,1.520824978,68.46190582
