candidate,N_CELLS,mesh_variant,mode,epsilon,radius,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,exact_mode_amplitude,raw_mode_amplitude,regularized_mode_amplitude,raw_amplitude_transfer,regularized_amplitude_transfer,raw_phase_error_deg,regularized_phase_error_deg,raw_L2,raw_Linf,raw_relative_L2,raw_relative_Linf,regularized_L2,regularized_Linf,regularized_relative_L2,regularized_relative_Linf,utility_status,row_pass,row_reason
h4_helmholtz_l4,64,uniform,2,0.02,0.001,4,helmholtz,4,60,4,1,52,1,0,52,0,59.8045228912,67.8275429919,54.9759087587,1.13415406917,0.919260050929,0.0133063267188,0.0099986121579,65.916069022,92.8573211634,0.0658827257146,0.0878790547584,7.18339431153,16.0993496411,0.00717976062815,0.0152362313597,0,1,ok
h4_helmholtz_l4,64,uniform,3,0.02,0.001,4,helmholtz,4,60,4,1,52,1,0,52,0,159.611265503,150.748745852,98.8987022551,0.944474347581,0.619622317657,0.198417587797,0.201997493989,68.6393284265,102.899390099,0.0682654731606,0.0893310410037,43.9138867615,70.7155084688,0.0436747026349,0.0613909371138,0,0,amplitude
h4_helmholtz_l4,64,uniform,4,0.02,0.001,4,helmholtz,4,60,4,1,52,1,0,52,0,300.704251406,250.239098306,131.400773691,0.832176788774,0.436976773945,0.011888677325,0.0101623133735,91.0944878813,135.943252361,0.0892432103169,0.106634498275,119.753950793,175.134808738,0.1173202382,0.13737653128,0,0,amplitude
h4_helmholtz_l4,64,perturbed,2,0.02,0.001,4,helmholtz,4,60,4,1,51,1,0,51,0,59.7675460135,67.0051600223,54.0875742514,1.12109605449,0.904965618618,0.367532359721,1.55578527947,73.4167425541,131.920587904,0.0733789431877,0.124843054236,8.38104800624,16.2266627672,0.00837673293731,0.0153561030321,0,1,ok
h4_helmholtz_l4,64,perturbed,3,0.02,0.001,4,helmholtz,4,60,4,1,52,1,0,52,0,159.368209513,156.618446727,103.323038725,0.982745851298,0.648329042792,0.801538736009,0.918994380127,72.9336719006,112.653572244,0.0725211149499,0.097788617523,41.1886036878,63.5691705126,0.0409556160389,0.0551810402252,0,0,amplitude
h4_helmholtz_l4,64,perturbed,4,0.02,0.001,4,helmholtz,4,60,4,1,52,1,0,52,0,300.924502277,246.473005804,128.560734092,0.8190526326,0.427219229804,0.228163411322,0.0201998733536,95.2894336509,160.265745897,0.0933507775245,0.125581916565,122.09052294,191.285925343,0.119606600734,0.149888879761,0,0,amplitude
h4_helmholtz_l4,128,uniform,2,0.02,0.001,4,helmholtz,4,60,4,1,104,1,0,104,0,59.9458810301,59.6375230644,56.9705821818,0.994856060828,0.950366917674,0.00234433699893,0.00515355187747,18.0532198089,32.601497639,0.0180441502607,0.0308396825608,3.32236012196,7.26013033656,0.00332069103991,0.00686778617991,0,1,ok
h4_helmholtz_l4,128,uniform,3,0.02,0.001,4,helmholtz,4,60,4,1,102,1,0,102,0,159.805155466,156.083397325,136.453886025,0.976710650358,0.853876620107,0.0267728762931,0.0246009717326,19.8385920984,37.9891768874,0.0197305864096,0.0329366462963,17.7133380392,32.7361221738,0.0176169027041,0.0283822437203,0,1,ok
h4_helmholtz_l4,128,uniform,4,0.02,0.001,4,helmholtz,4,60,4,1,108,1,0,108,0,298.984125985,279.617727318,229.221845006,0.935225997024,0.766668946893,0.00640243252179,0.00778045972327,26.7112831852,43.5579337119,0.02617063844,0.0338828714468,49.808639215,72.6088376561,0.0488004967431,0.0564810059283,0,0,amplitude
h4_helmholtz_l4,128,perturbed,2,0.02,0.001,4,helmholtz,4,60,4,1,103,1,0,103,0,59.9132664145,59.369031998,55.9621747172,0.990916295354,0.934053141588,1.44277295648,0.27019161877,73.4006413366,267.641187902,0.0733652428652,0.253147569543,27.1387672409,80.9320960266,0.0271256791962,0.0765493665897,0,1,ok
h4_helmholtz_l4,128,perturbed,3,0.02,0.001,4,helmholtz,4,60,4,1,101,1,0,101,0,159.893324101,154.270156057,136.27171105,0.964831752196,0.852266420855,0.0960185719317,0.650720283426,71.266125894,226.864969153,0.0708830621347,0.196692005032,32.9363194266,81.282516618,0.0327592828587,0.0704719694157,0,1,ok
h4_helmholtz_l4,128,perturbed,4,0.02,0.001,4,helmholtz,4,60,4,1,108,1,0,108,0,299.206931342,277.632515339,227.807697889,0.927894665051,0.761371726474,0.0390090277927,0.167636535623,75.0264640754,208.450459707,0.0734879568517,0.161918327688,58.1770144448,134.156566713,0.0569840253032,0.104208966299,0,0,amplitude
